DataNumberSFAFItem,Type,Title,SPECTRUMXXITags,Required,MaximumLengthsInput,OccurrencesMaximum,IRACTo,GMFTags,IsArray,FieldName,Column,DBType,Group,Description
5,Administrative Data,Security Classification,"CLA,CDD,FOIm",TRUE,"2,10",1,Y,"CLA,FOICDD,c",FALSE,5,sfaf.security_classification,str(10),,"Data Item 005 has two parts. Part one contains a 2-letter designator representing the security classification of the record and the record special handling instructions. The second part of the item contains a 10-character field containing the record declassification instructions. The record declassification instructions must always be entered if the first character of the security classification is a C, S, or T."
6,Administrative Data,SecurityModificationClassification,"CLA,CDD,FOIm",,"2,10",1,Y,"CLA,FOICDD,c",FALSE,6,sfaf.securitymodificationclassification,str(10),,
7,Administrative Data,Missing Data Indicator,MSD,,1,1,Y,MSD,FALSE,7,sfaf.missing_data_indicator,str(1),,
10,Administrative Data,Type of Action,TYP,,1,1,Y,TYP,FALSE,10,sfaf.type_of_action,str(1),,
14,Administrative Data,Derivative Classification,CLF,,"8,60",10,Y35,*CLFb,TRUE,14,sfaf.derivative_classification,str(60),,"This data item indicates the date, title, and publishing organization of the source document from which one or more TOP SECRET, SECRET, or CONFIDENTIAL data entries in the record were derived."
15,Administrative Data,Unclassified Data Fields,CLU,,72,1,Y35,*CLU,FALSE,15,sfaf.unclassified_data_fields,str(72),,
16,Administrative Data,Extended Declassification Date,CDE,,35,1,Y,*CDE,FALSE,16,sfaf.extended_declassification_date,str(35),,
17,Administrative Data,Downgrading Instructions,DNG,,"1,8",1,Y,"*AGN,DNG",FALSE,17,sfaf.downgrading_instructions,"str(1,8)",,
18,Administrative Data,Original Classification Authority,OCA,,60,1,Y35,*CLA,FALSE,18,sfaf.original_classification_authority,str(60),,
19,Administrative Data,Reason for Classification,CLR,,35,1,Y,*CLR,FALSE,19,sfaf.reason_for_classification,str(35),,
20,Administrative Data,Proposal References,,,64,10,N,,TRUE,20,sfaf.proposal_references,str(64),,
102,Administrative Data,Agency Serial Number,SER,TRUE,10,1,Y,SER,FALSE,102,sfaf.agency_serial_number,str(10),,"The agency serial number is required for all types of actions that will be entered into the FRRS central database. The serial number is formatted as AAAAYYNNNN. The agency abbreviation (identifier) for the assignment (as defined in the NTIA Manual or as listed below) is entered in characters 1-4 (AAAA). When AAAA is less than four characters, trailing spaces are required; the next two numbers (YY) identify the calendar year in which the assignment initially is processed; the following four numbers (NNNN) are specified to uniquely identify the assignment. The following are agency serial number identifiers for MILDEP/JFP frequency assignments"
103,Administrative Data,IRAC Docket Number,AUS,,8,10,N,AUS,TRUE,103,sfaf.irac_docket_number,str(8),,A reference number assigned by the IRAC to frequency applications submitted to the FAS.
105,Administrative Data,List Serial Number,LSN,,10,1,Y,LSR,FALSE,105,sfaf.list_serial_number,str(10),,"The agency list serial number of a GMF record representing a group or area assignment. It brings into use, by a particular station or stations, a frequency authorized under a group assignment or authorized for communications with nongovernment stations."
106,Administrative Data,"Serial Replaced, Delete Date","SRS,SEX",,"10,8",1,Y,"SRS,SEX",FALSE,106,sfaf.serial_replaced_delete_date,str(10),,A record may be deleted from the GMF using Data Item 106 while entering a New or Notification type of action. This is a two-part data item. The first part of the data item is the serial number of the GMF record being deleted and the second part of the data item is the date the record will be automatically deleted from the GMF. This data item is not stored in the database.
107,Administrative Data,Authorization Date,AUD,,8,1,N,AUD,FALSE,107,sfaf.authorization_date,str(8),,The date (YYYYMMDD) on which a GMF assignment was originally authorized.
108,Administrative Data,DocketAuthorizationsNumbers of Older,DOC,,35,30,Y,*DOC,TRUE,108,sfaf.docketauthorizationsnumbers_of_older,str(35),,"A history of an assignment's previous GMF authorizations. It allows New or Notification type of actions to retain all previously assigned docket numbers, authorization dates, and agency serial numbers."
110,Emission Characteristics,Frequency(ies),"FRQ,FRU",TRUE,"11,11-11,11(11)",1,Y,"FRQ,*FRB",FALSE,110,sfaf.frequencyies,str(11),,"The frequency band or discrete frequency assigned to the unit and/or required for the equipment described in the assignment. A reference frequency, if included, is the assignment of a suppressed or reduced carrier sideband."
111,Emission Characteristics,Excluded Frequency Band,FBE,,23,30,Y,*FBEb,TRUE,111,sfaf.excluded_frequency_band,str(23),,Used in conjunction with a frequency band assignment to designate portions of the band excluded from the assignment.
112,Emission Characteristics,Frequency Separation Criteria,,,35,1,N,,FALSE,112,sfaf.frequency_separation_criteria,str(35),,Identifies the required frequency separation between the different radio sets operated at one transmitter or receiver location.
113,Emission Characteristics,Station Class,STC,,4,20,Y,STC,TRUE,113,sfaf.station_class,str(4),Transmitter,"Identifies the functional use of the assigned frequency at a particular transmitting station. See Annex A to this appendix for a list of acceptable station class symbols and their definitions. The suffix R is included if a station is used primarily as a repeater and operates in the bands 29.89-50 (exclusive Government use), 138-144, 148-149.9, 150.05- 150.8, 162-174, and 406.1-420 MHz."
114,Emission Characteristics,Emission Designator,EMS,,11,20,Y,EMS,TRUE,114,sfaf.emission_designator,str(11),Transmitter,"Identifies the necessary bandwidth and emission classification symbols. The bandwidth can be determined by using formulas shown in the ITU Radio Regulations, CCIR Recommendations, or the NTIA Manual. Emission classification symbols consist of the three required symbols and the two optional symbols shown in Tables A-B-1 and A-B-2 in Annex B to this appendix."
115,Emission Characteristics,Transmitter Power,PWR,,9,20,Y,PWR,TRUE,115,sfaf.transmitter_power,str(9),Transmitter,Identifies the maximum transmitter power output authorized to be used.
116,Emission Characteristics,Power Type,,,1,20,N,,TRUE,116,sfaf.power_type,str(1),Transmitter,"The power type code for either carrier, mean, or peak envelope power emitted. The power type code will depend on the type of emission of the transmitter equipment."
117,Emission Characteristics,Effective Radiated Power,,,6,20,N,,TRUE,117,sfaf.effective_radiated_power,str(6),Transmitter,"The power radiated from the transmitter antenna. It is the sum of the power supplied to the antenna and the gain of the antenna, expressed in dBm."
